pressure,temparature,dewpoint,humidity,cloud,rainfall,windspeed
1025.9,18.3,13.1,72,49,yes,26.3
1022,18.9,15.6,81,83,yes,15.3
1019.7,19.3,18.4,95,91,yes,14.2
1018.9,20.6,18.8,90,88,yes,16.9
1015.9,20.7,19.9,95,81,yes,13.7
1018.8,20.9,18,84,51,yes,14.5
1021.8,18.8,15,79,56,no,21.5
1020.8,18.4,14.4,78,28,no,14.3
1020.6,18.1,14.3,78,79,no,39.3
1017.5,18,15.5,85,91,yes,37.7
1016.5,18.1,16.4,90,90,yes,23.3
1019.9,17.3,13.7,79,86,no,23.9
1020.8,16.1,12.1,77,34,no,24.4
1019.3,16.5,12.9,79,81,yes,33.2
1015.4,15.1,14.6,97,97,yes,37.5
1013.5,16.4,15.6,95,93,yes,40
1011.5,17.8,16.1,90,79,yes,23.4
1017.1,15.2,11.1,76,49,no,28.4
1020.1,16.4,12.5,78,84,no,38
1019.6,15.5,13.9,90,92,yes,50.6
1017.7,16.1,15.3,95,100,yes,26.2
1018.9,14.1,12.9,92,100,yes,35.3
1027.1,8.5,3.4,70,95,yes,55.5
1034.6,4.9,2.2,61,96,yes,59.5
1032.6,7.4,3.7,46,25,no,28.7
1027.1,10.4,2.5,59,85,yes,21.3
1022.7,13,11.6,92,95,yes,29.6
1018.2,16.1,15.7,98,100,yes,28.8
1017.9,16.6,15.9,96,91,yes,25
1020,17.6,15.5,88,80,no,21.2
1019.9,15.7,13.4,86,93,yes,43.1
1022.2,12.4,11.2,93,96,yes,31.9
1024.4,10.4,6.8,79,94,yes,27.3
1023.6,12.5,8.6,77,88,yes,21.3
1021.8,15.2,10.9,76,45,no,9.1
1021.2,14.8,8.4,66,18,no,24.4
1024.9,13.6,0.3,39,13,no,44.7
1026.1,13.7,1.7,36,2,no,20.5
1023.9,14.8,4.3,52,0,no,16.7
1020.8,16.7,7.2,54,29,no,17.2
1017.5,16.6,9.8,64,77,yes,22
1014.9,18.8,16.4,86,80,yes,15.8
1013.4,19.2,18.5,95,86,yes,13.9
1012.5,23.1,21.1,89,76,no,10.2
1014.8,21.7,18.1,81,82,yes,15.3
1024.3,13.2,6.6,64,88,yes,33.5
1025.4,12.8,6,63,89,no,23.5
1024.1,12.9,8.9,77,91,yes,19.2
1021.9,13.7,11.8,89,95,yes,18.6
1020.3,15.3,13.3,88,94,yes,22.2
1023.2,16,9.6,67,55,yes,23.9
1022.2,15,11,77,82,yes,44.7
1020.6,16.1,14.7,91,88,yes,24.4
1022.3,15.5,14.3,92,88,yes,19.3
1027.5,13.7,10,78,88,yes,28
1028.9,14.8,10.5,76,87,no,20.4
1027.4,15.2,11.6,79,88,yes,15.2
1024.7,15.5,11.7,79,79,yes,9.1
1023.8,16.6,11.5,72,49,no,9.2
1024.4,18.5,10.1,61,19,no,16.9
1024.7,16.5,11.5,73,43,no,34.2
1023.8,16.6,11.4,72,32,no,27.1
1020.9,18.7,14,75,46,no,14.7
1018.1,20.2,16.9,82,71,no,15.4
1016.7,20.8,16.9,79,83,yes,13.3
1015.8,21.8,18,79,72,no,6.6
1014.9,19.7,18.2,91,76,yes,13.8
1012.5,20.1,18.9,93,88,no,15.3
1012.5,20.8,19.9,95,88,yes,15.1
1019.5,13.4,12.2,93,93,yes,39.7
1022.6,11.9,8,77,93,yes,25
1017.7,13.6,11.4,87,100,yes,36
1014.5,15.8,15.1,96,99,yes,22.8
1018,15.3,12.4,83,89,yes,26.7
1017.1,14.8,11.1,79,94,yes,38
1015,15.3,13.6,90,100,yes,33.2
1014.3,16.5,16,97,97,yes,26.5
1012,19.5,19,97,92,yes,13.1
1013,22.4,21.4,94,85,yes,12.5
1014.7,19,17.4,91,96,yes,28
1014.8,17.1,16.3,95,95,yes,38.3
1013.4,16.6,16,96,100,yes,33.5
1012.8,18.4,18,97,95,yes,22
1020.2,15.3,14.9,98,99,yes,42
1023.9,13.7,9.2,75,88,yes,19.4
1023.6,15.8,9.8,68,22,no,13.4
1024.1,17.3,8.4,58,19,no,14.6
1024.1,16.9,10,65,58,no,26.9
1021.4,17.7,9.6,59,74,yes,20.5
1018.3,20,16.3,79,89,yes,14.8
1015.3,21.5,18.9,86,83,no,4.5
1014.5,21.9,19.5,86,83,no,8.3
1015.6,21.3,19.6,90,81,yes,14.5
1014.6,23,20.7,87,88,no,9.2
1012.5,23.6,21.4,88,84,yes,8
1013.3,22.3,20.8,91,78,yes,14.8
1013.3,23.1,21.6,91,83,no,20
1013.2,23.9,22.3,91,84,no,10
1013.3,25.3,22.9,87,84,yes,9.1
1011.6,25.7,23.2,86,88,yes,17.3
1009.2,23.3,21.9,92,93,yes,20.5
1010.1,21.5,19.9,91,89,yes,31.8
1009.1,20.3,19.3,94,88,yes,29.8
1005.5,21.8,21.6,98,93,yes,14.5
1008.5,23.1,22.8,98,88,yes,11.2
1011.4,21.1,20.6,97,88,yes,20
1010.5,24.7,22.7,89,81,yes,15.3
1010.9,25.9,24.2,90,86,yes,16
1014.4,23.1,20.8,87,81,yes,19.6
1017.4,20.5,18.1,86,88,yes,35.3
1014.6,21.6,19.5,88,89,yes,20.9
1012.5,24.6,22.3,87,80,yes,7.3
1010.7,23.7,22,90,81,yes,11.1
1008.2,24.9,22.8,88,81,yes,13
1008.7,24.4,23.2,93,84,yes,8.5
1009.8,26,24.3,90,83,yes,13
1009.5,27.2,24.5,86,87,yes,24.2
1008.2,26.8,24,85,83,yes,20.2
1010.4,26,23,84,78,yes,12.5
